# (dyne/cm2)    (K)
Pressure      Temp
5.916e+08   2035.8
4.773e+08   1936.6
3.718e+08   1857.6
2.816e+08   1797.7
2.069e+08   1754.5
1.519e+08   1727.1
1.163e+08   1711.4
9.129e+07   1701.8
7.203e+07   1695.4
5.635e+07   1691.0
4.373e+07   1688.0
3.383e+07   1686.0
2.610e+07   1684.7
1.994e+07   1683.8
1.517e+07   1683.3
1.145e+07   1682.9
8.545e+06   1682.6
6.322e+06   1682.0
4.601e+06   1680.1
3.307e+06   1675.9
2.335e+06   1670.9
1.628e+06   1667.4
1.123e+06   1659.9
7.695e+05   1639.6
5.228e+05   1605.6
3.524e+05   1566.0
2.360e+05   1533.2
1.581e+05   1502.0
1.061e+05   1460.2
7.095e+04   1411.0
4.712e+04   1360.7
3.113e+04   1325.3
2.058e+04   1289.3
1.355e+04   1245.4
8.869e+03   1206.5
5.775e+03   1171.8
3.744e+03   1141.1
2.417e+03   1112.7
1.556e+03   1090.1
1.001e+03   1066.0
6.427e+02   1045.1
4.136e+02   1026.2
2.672e+02   1007.5
1.736e+02   986.8
1.136e+02   968.1
7.518e+01   946.5
5.035e+01   923.7
3.417e+01   896.3
2.346e+01   861.7
1.594e+01   783.4
1.000e+01   653.6
