# (dyne/cm2)    (K)
Pressure      Temp
4.174e+08   1967.8
3.302e+08   1852.5
2.572e+08   1736.2
1.959e+08   1658.7
1.497e+08   1588.3
1.170e+08   1547.8
9.245e+07   1511.8
7.301e+07   1489.8
5.724e+07   1469.2
4.455e+07   1457.0
3.452e+07   1446.1
2.659e+07   1439.9
2.028e+07   1434.5
1.546e+07   1431.6
1.176e+07   1429.3
8.897e+06   1428.1
6.710e+06   1427.1
5.008e+06   1426.6
3.699e+06   1426.0
2.693e+06   1425.0
1.930e+06   1424.0
1.364e+06   1423.8
9.537e+05   1420.6
6.635e+05   1408.1
4.592e+05   1384.0
3.159e+05   1348.5
2.155e+05   1312.3
1.464e+05   1281.6
9.952e+04   1246.8
6.747e+04   1203.4
4.541e+04   1155.3
3.022e+04   1111.0
1.995e+04   1082.9
1.313e+04   1054.7
8.603e+03   1023.7
5.597e+03   994.1
3.621e+03   972.4
2.334e+03   951.5
1.500e+03   934.8
9.635e+02   920.4
6.188e+02   906.2
3.977e+02   892.4
2.563e+02   880.7
1.660e+02   867.3
1.082e+02   853.2
7.109e+01   838.0
4.719e+01   821.0
3.171e+01   800.8
2.160e+01   776.4
1.484e+01   740.9
1.000e+01   658.0
